Raw data,,,,,,,,,
"CRS
(RPM)","AR
(mm/min)",F/A(MF),T/D3(MT),"UEP
(MPa)","LEP
(MPa)",SE(kW· h/m3),FPI,TPI,PR(mm/r)
"1,3",15,"486,62 ","10,44 ","0,19","0,23","18,53 ","2773,33 ","693,33 ","11,54 "
"1,3",16,"441,00 ","11,49 ","0,19","0,21","19,09 ","2356,25 ","715,00 ","12,31 "
"1,3",15,"456,20 ","11,62 ","0,2","0,21","20,59 ","2600,00 ","771,33 ","11,54 "
"1,3",12,"517,03 ","9,40 ","0,2","0,24","20,84 ","3683,33 ","780,00 ","9,23 "
"1,3",12,"534,06 ","11,10 ","0,2","0,23","24,58 ","3804,67 ","920,83 ","9,23 "
"1,3",15,"380,17 ","4,57 ","0,17","0,19","8,15 ","2166,67 ","303,33 ","11,54 "
"1,3",10,"471,41 ","7,83 ","0,17","0,23","20,82 ","4030,00 ","780,00 ","7,69 "
"1,6",11,"456,20 ","9,79 ","0,14","0,19","29,07 ","4363,64 ","1090,91 ","6,88 "
"1,4",12,"471,41 ","9,79 ","0,16","0,2","23,34 ","3616,67 ","875,00 ","8,57 "
"1,4",5,"547,45 ","9,79 ","0,16","0,22","55,86 ","10080,00 ","2100,00 ","3,57 "
