CRS (RPM),AR (mm/min),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),PR(mm/r)
0.636364,0.096774,0.298557,0.322078,0.0,0.15,0.069616
1.0,0.112903,0.244601,0.067532,0.0,0.2,0.056406
0.818182,0.112903,0.226623,0.22013,0.0,0.25,0.068148
0.727273,0.080645,0.26259,0.194805,0.0,0.225,0.050325
0.818182,0.112903,0.296759,0.211688,0.030303,0.25,0.068148
1.0,0.112903,0.298557,0.237013,0.0,0.275,0.056406
0.818182,0.112903,0.244601,0.126623,0.0,0.3,0.068148
0.818182,0.112903,0.28058,0.194805,0.0,0.275,0.068148
0.818182,0.064516,0.28058,0.152597,0.0,0.25,0.033131
0.818182,0.112903,0.40647,0.152597,0.0,0.075,0.068148
1.0,0.080645,0.307558,0.141558,0.030303,0.125,0.035437
1.0,0.080645,0.253601,0.10974,0.0,0.1,0.035437
1.0,0.129032,0.312951,0.126623,0.0,0.075,0.06689
0.909091,0.129032,0.185251,0.126623,0.0,0.1,0.072971
1.0,0.16129,0.190645,0.114935,0.0,0.075,0.087859
1.0,0.080645,0.182732,0.067532,0.0,0.075,0.035437
0.909091,0.145161,0.26259,0.152597,0.0,0.05,0.084085
0.818182,0.145161,0.316546,0.322078,0.272727,0.3,0.091424
0.545455,0.16129,0.298557,0.322078,0.242424,0.3,0.133361
0.818182,0.112903,0.244601,0.194805,0.0,0.075,0.068148
0.727273,0.080645,0.28058,0.152597,0.0,0.2,0.050325
0.818182,0.145161,0.172667,0.135714,0.0,0.075,0.091424
0.909091,0.129032,0.208634,0.22013,0.060606,0.1,0.072971
0.818182,0.112903,0.190645,0.169481,0.0,0.075,0.068148
0.909091,0.112903,0.190645,0.152597,0.0,0.05,0.061858
1.0,0.080645,0.208634,0.115584,0.151515,0.225,0.035437
0.909091,0.112903,0.241005,0.211688,0.030303,0.125,0.061858
0.909091,0.112903,0.226623,0.152597,0.0,0.1,0.061858
0.727273,0.016129,0.28058,0.203247,0.030303,0.05,0.000839
0.818182,0.032258,0.316546,0.237013,0.0,0.1,0.009855
0.909091,0.080645,0.235612,0.152597,0.0,0.1,0.039841
0.545455,0.129032,0.275174,0.277273,0.060606,0.125,0.105263
0.636364,0.096774,0.298557,0.194805,0.0,0.1,0.069616
