F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),SE(kW· h/m3),FPI,TPI,PR(mm/r)
0.604317,0.559091,0.606061,0.6,0.239661,0.241783,0.239024,0.145104
0.703241,0.618831,0.606061,0.7,0.400565,0.43014,0.4,0.08052
0.676263,0.237013,0.757576,0.625,0.196384,0.448086,0.195497,0.071294
0.730219,0.63961,0.606061,0.65,0.478418,0.517474,0.477863,0.063326
0.69424,0.533766,0.575758,0.575,0.27887,0.335789,0.278049,0.112812
0.640284,0.575974,0.606061,0.6,0.298192,0.310905,0.297561,0.112812
0.604317,0.533766,0.636364,0.625,0.351638,0.373115,0.35122,0.08052
0.606115,0.495455,0.606061,0.65,0.197627,0.222215,0.196998,0.16125
0.622306,0.483117,0.606061,0.625,0.322486,0.383483,0.321951,0.08052
0.595328,0.474675,0.606061,0.6,0.207119,0.238326,0.206505,0.145104
0.532371,0.491558,0.606061,0.575,0.168023,0.167131,0.167481,0.193542
0.56835,0.491558,0.606061,0.6,0.168136,0.17819,0.167481,0.193542
0.604317,0.635714,0.575758,0.575,0.325311,0.294315,0.324878,0.112812
0.658273,0.575974,0.606061,0.6,0.376158,0.40422,0.37561,0.08052
0.730219,0.406494,0.606061,0.625,0.346328,0.553364,0.345591,0.056406
0.748196,0.194805,0.606061,0.625,0.259435,0.742227,0.258537,0.032292
0.712229,0.491558,0.606061,0.625,0.327571,0.435325,0.326829,0.08052
0.604317,0.448701,0.575758,0.6,0.220113,0.270069,0.219512,0.126232
0.532371,0.406494,0.575758,0.575,0.22,0.261137,0.219512,0.112812
0.658273,0.406494,0.575758,0.625,0.246215,0.356986,0.245529,0.096666
0.604317,0.406494,0.606061,0.575,0.142147,0.189249,0.141463,0.193542
0.604317,0.491558,0.575758,0.6,0.23435,0.265661,0.233702,0.128958
0.640284,0.448701,0.606061,0.575,0.26791,0.34777,0.267209,0.096666
0.676263,0.364286,0.575758,0.525,0.224633,0.366203,0.223847,0.096666
0.658273,0.10974,0.606061,0.55,0.108249,0.40422,0.107317,0.08052
0.631295,0.135714,0.545455,0.6,0.09548,0.306757,0.094634,0.112812
0.460426,0.194805,0.121212,0.1,0.164294,0.304524,0.163977,0.074858
0.298557,0.237013,0.0,0.025,0.155367,0.168938,0.155473,0.099602
0.235612,0.10974,0.0,0.025,0.09774,0.146606,0.097936,0.091424
0.226623,0.194805,0.0,0.025,0.125198,0.123743,0.125454,0.108828
0.190645,0.186364,0.060606,0.15,0.129605,0.114704,0.129957,0.099602
0.208634,0.126623,0.030303,0.075,0.103051,0.12761,0.103259,0.095827
0.190645,0.10974,0.0,0.2,0.112655,0.141821,0.112946,0.074858
0.190645,0.126623,0.030303,0.225,0.122825,0.141821,0.123152,0.074858
0.199645,0.135714,0.0,0.3,0.18904,0.219299,0.189493,0.037953
0.190645,0.152597,0.0,0.3,0.138079,0.141821,0.138462,0.074858
0.208634,0.152597,0.0,0.3,0.138192,0.152668,0.138462,0.074858
0.181656,0.194805,0.0,0.35,0.133785,0.110184,0.134208,0.099602
0.185251,0.211688,0.060606,0.4,0.173785,0.138567,0.174184,0.074858
0.26259,0.279221,0.030303,0.4,0.176497,0.15086,0.176735,0.099602
0.226623,0.211688,0.0,0.425,0.173898,0.163515,0.174184,0.074858
0.223016,0.192208,0.030303,0.4,0.206328,0.206902,0.206718,0.050325
